[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` ORDER BY sortrank asc  [ RunTime:0.003157s ]
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Tag[ view_template ] --START--
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Run LocationTemplate Behavior [ RunTime:0.003813s ]
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Tag[ view_template ] --END-- [ RunTime:0.004045s ]
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Tag[ view_parse ] --START--
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Run ParseTemplate Behavior [ RunTime:0.065607s ]
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.065893s ]
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Tag[ view_filter ] --START--
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Run ContentReplace Behavior [ RunTime:0.001576s ]
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Run TokenBuild Behavior [ RunTime:0.002842s ]
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002828s ]
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Run ShowRuntime Behavior [ RunTime:0.001677s ]
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009633s ]
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\myfcms\admin\Lib\Action\ArchivesAction.class.php:344) View.class.php 第 120 行.
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\myfcms\admin\Lib\Action\ArchivesAction.class.php:344) View.class.php 第 121 行.
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\myfcms\admin\Lib\Action\ArchivesAction.class.php:344) View.class.php 第 122 行.
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Tag[ view_end ] --START--
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Run ShowPageTrace Behavior [ RunTime:0.003248s ]
[ 2012-05-16T16:27:59+08:00 ] /myfcms/admin/index.php?m=Archives&a=update&id=218 | INFO: Tag[ view_end ] --END-- [ RunTime:0.003663s ]
[ 2012-05-16T16:28:12+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | INFO: Tag[ app_begin ] --START--
[ 2012-05-16T16:28:12+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001937s ]
[ 2012-05-16T16:28:12+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002356s ]
[ 2012-05-16T16:28:12+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | NOTIC: [8] Undefined index:  flags ArchivesAction.class.php 第 184 行.
[ 2012-05-16T16:28:12+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | NOTIC: [2] implode() [<a href='function.implode'>function.implode</a>]: Invalid arguments passed ArchivesAction.class.php 第 191 行.
[ 2012-05-16T16:28:12+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009270s ]
[ 2012-05-16T16:28:12+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | SQL: SELECT * FROM `myf_arctype` WHERE ( `id` = '6' ) LIMIT 1   [ RunTime:0.003720s ]
[ 2012-05-16T16:28:12+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | SQL: SHOW COLUMNS FROM `myf_archives` [ RunTime:0.009218s ]
[ 2012-05-16T16:28:12+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | SQL: UPDATE `myf_archives` SET `title`='谈谈地方人力类网站怎么做到快速发展 ',`litpic`='',`flag`='',`keywords`='谈谈地,方人力,类网站,怎么,快速发,随着人,力求,职类,资,站长,网站,网站推广,赚钱',`color`='#000000',`source`='<a href=\\\'http://www.wd163.com/ \\\' target=\\\'_blank\\\'>开',`writer`='',`typeid`='6',`typename`='互联网',`description`='随着人力求职类的资源增多，越来越多的人力公司网站在近断时间都有不少的盈利，但市场的扩大化带来的是竞争的加剧，人力公司网站如果墨守成规、固步自封，我想网站的最高点也就止步于此。要想人力网站能够迅速而有效的得到用户的信任，让网站能够快速的腾飞起来就必须',`sendtime`='2012-05-16 16:16:26',`click`='1',`body`='<p>　　随着人力求职类的资源增多，越来越多的人力公司网站在近断时间都有不少的盈利，但市场的扩大化带来的是竞争的加剧，人力公司网站如果墨守成规、固步自封，我想网站的最高点也就止步于此。要想人力网站能够迅速而有效的得到用户的信任，让网站能够快速的腾飞起来就必须做好四点，通过这四点带动整个网站的进步，最终获得用户的支持与合作企业的支持。</p><p>　　一、修订网站页面、制作人力需求网页</p><p>　　很多时候人力公司都是由几个合伙人开办而成，而很多合伙人的最大目的就是盈利，作为一个人力公司网站要想在短时间内能够获取盈利就必须让自己的公司网站看起来专业、内容丰富、页面有吸引。大家都知道前程无忧、中华人才等等网站，而这些网站是面对全国各地的，但从他们的分类中我们可以看出，求职招聘的范围拓展到了每一个城市、城镇。因此地方人力公司网站就必须抓住更精细、更专业的手段去建立自己的网页，通过细小划分来制作合适的网站页面，确保能够将用户吸引到网站的联系方式中。</p><p>　　二、向当地的论坛、贴吧、QQ群发帖子</p><p>　　发一些推广网站的帖子到论坛，这个是会上网用电脑的站长都能够做到的事情，但是要想高效快速推广自己的人力公司网站就需要优质的帖子，人力公司网站最受的是求职者与招聘者的欢迎，因此人力公司网站就可以打出一些真实有效的求职和招聘信息，让当地人都能够在短时间内了解到有这么一个网站为当地群众和企业提供最方便、最有效、最快捷的招应聘网站，这样能够在短时间内增加网站的流量。</p><p>　　三、利用百度知道、百度百科树立体系</p><p>　　当求职者或招聘者在百度中搜索关键词的时候，绝大部分时间中百度知道与百度百科的问答和文章都能够在百度首页，特别是对于地方人力网站网站来说，很多求职者都会搜索城市+招聘网，而这个时候你建立了百度百科链接，那么就能够在很短的时间内吸引用户点击进入你的网站，从而赢取利润。百度知道也是如此，在上面提一些求职者或应聘者比较常见的问题，这样也能够为网站带来流量提高知名度，随着大学生毕业的临近，做好百度知道与百度百科显得迫在眉睫，因为大学生的网络时间相对而言占绝大多数。</p><p>　　四、勤于收集与更新求职和应聘信息</p><p>　　作为地方人力公司网站就要勤于收集信息，当有求职者来到你网站过后看到整个网站的招聘信息不充实，那么求职者就会感觉到你的网站无法帮助他找到一份良好的工作，从而离开你的网站，对招聘者也是如此，如果你的网站没有供他们能够选择的求职者信息，那么他们也不会成为你的合作伙伴，因此作为地方人力公司的站长就必须坚持保质、保量、定期的对网站信息进行更新，确保网站能够正常的运营。</p><p>　　地方公司人力网站与一般的地方网站经营方法不同，它更注重的是效率，网站有流量只是一个起点，还需要在流量中达到一个百分比的转化率，帮助求职者找到工作，让招聘者能够在短时间内找到合适的人才，这些都是地方人才网站的站长必须考虑的事情，因此地方人力公司网站的站长就必须多思考，让公司网站在你的手中发扬光大。本文来源于开网店的步骤&nbsp;http://www.wd163.com/&nbsp;，首发a5，转载请保留作者链接，谢谢!</p>' WHERE id=218 [ RunTime:0.004143s ]
[ 2012-05-16T16:28:12+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | INFO: Tag[ view_template ] --START--
[ 2012-05-16T16:28:12+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | INFO: Run LocationTemplate Behavior [ RunTime:0.003456s ]
[ 2012-05-16T16:28:12+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | INFO: Tag[ view_template ] --END-- [ RunTime:0.003716s ]
[ 2012-05-16T16:28:12+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | INFO: Tag[ view_parse ] --START--
[ 2012-05-16T16:28:13+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | INFO: Run ParseTemplate Behavior [ RunTime:0.033955s ]
[ 2012-05-16T16:28:13+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034383s ]
[ 2012-05-16T16:28:13+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | INFO: Tag[ view_filter ] --START--
[ 2012-05-16T16:28:13+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | INFO: Run ContentReplace Behavior [ RunTime:0.001242s ]
[ 2012-05-16T16:28:13+08:00 ] /myfcms/admin/index.php?m=Archives&a=update_handler | INFO: Run TokenBuild Behavior [ RunTime:0.001308s ]
